# control input, output
9.901045603371777526e-01,1.508236847119825974e-01
9.914583481916864338e-01,1.537504770835080026e-01
9.927129910375884769e-01,1.566979412763395973e-01
9.938683634116448617e-01,1.596647286012558009e-01
9.949243497775809297e-01,1.626494714673126507e-01
9.958808445376400309e-01,1.656507840625439931e-01
9.967377520431434101e-01,1.686672630444241983e-01
9.974949866040544455e-01,1.716974882397450108e-01
9.981524724975481266e-01,1.747400233535526259e-01
9.987101439755829979e-01,1.777934166867869703e-01
9.991679452714760101e-01,1.808562018622610346e-01
9.995258306054790598e-01,1.839268985586137994e-01
9.997837641893569938e-01,1.870040132518662190e-01
9.999417202299663021e-01,1.900860399642066434e-01
9.999996829318346103e-01,1.931714610196277326e-01
9.999576464987400826e-01,1.962587478060342783e-01
9.998156151342908471e-01,1.993463615434377945e-01
9.995736030415051099e-01,2.024327540578507723e-01
9.992316344213905133e-01,2.055163685604910473e-01
9.987897434705239608e-01,2.085956404319039004e-01
9.982479743776324632e-01,2.116689980106072344e-01
9.976063813191736740e-01,2.147348633858629507e-01
9.968650284539188888e-01,2.177916531941758715e-01
9.960239899165367339e-01,2.208377794191194732e-01
9.950833498101802066e-01,2.238716501940864467e-01
9.940432021980759592e-01,2.268916706075605472e-01
9.929036510941184890e-01,2.298962435105051383e-01
9.916648104524685703e-01,2.328837703254628133e-01
9.903268041561580359e-01,2.358526518569596941e-01
9.888897660047014648e-01,2.388012891028075957e-01
9.873538397007164402e-01,2.417280840658967700e-01
9.857191788355534889e-01,2.446314405660719449e-01
9.839859468739369230e-01,2.475097650516840664e-01
9.821543171376184711e-01,2.503614674104110982e-01
9.802244727880454755e-01,2.531849617789409534e-01
9.781966068080446552e-01,2.559786673511108002e-01
9.760709219825242089e-01,2.587410091840978144e-01
9.738476308781951474e-01,2.614704190022570929e-01
9.715269558223152968e-01,2.641653359982044091e-01
9.691091288804563053e-01,2.668242076307424937e-01
9.665943918332975393e-01,2.694454904192311595e-01
9.639829961524480906e-01,2.720276507340040339e-01
9.612752029752998917e-01,2.745691655824358257e-01
9.584712830789141602e-01,2.770685233902674405e-01
9.555715168529439474e-01,2.795242247777975364e-01
9.525761942715953445e-01,2.819347833305528850e-01
9.494856148646304561e-01,2.842987263640518458e-01
