q1, q2, concentration
9.729359469096013902e-01 9.729359469096013902e-01 0.000000000000000000e+00
9.739928547333713826e-01 9.739928547333713826e-01 0.000000000000000000e+00
9.750289840798466168e-01 9.750289840798466168e-01 0.000000000000000000e+00
9.760443128449736161e-01 9.760443128449736161e-01 0.000000000000000000e+00
9.770388193684440559e-01 9.770388193684440559e-01 0.000000000000000000e+00
9.780124824341563938e-01 9.780124824341563938e-01 0.000000000000000000e+00
9.789652812706687302e-01 9.789652812706687302e-01 0.000000000000000000e+00
9.798971955516421195e-01 9.798971955516421195e-01 0.000000000000000000e+00
9.808082053962740021e-01 9.808082053962740021e-01 0.000000000000000000e+00
9.816982913697220869e-01 9.816982913697220869e-01 0.000000000000000000e+00
9.825674344835193530e-01 9.825674344835193530e-01 0.000000000000000000e+00
9.834156161959791698e-01 9.834156161959791698e-01 0.000000000000000000e+00
9.842428184125903146e-01 9.842428184125903146e-01 0.000000000000000000e+00
9.850490234864036632e-01 9.850490234864036632e-01 0.000000000000000000e+00
9.858342142184082224e-01 9.858342142184082224e-01 0.000000000000000000e+00
9.865983738578980589e-01 9.865983738578980589e-01 0.000000000000000000e+00
9.873414861028299017e-01 9.873414861028299017e-01 0.000000000000000000e+00
9.880635351001707534e-01 9.880635351001707534e-01 0.000000000000000000e+00
9.887645054462359528e-01 9.887645054462359528e-01 0.000000000000000000e+00
9.894443821870181344e-01 9.894443821870181344e-01 0.000000000000000000e+00
9.901031508185058616e-01 9.901031508185058616e-01 0.000000000000000000e+00
9.907407972869933799e-01 9.907407972869933799e-01 0.000000000000000000e+00
9.913573079893802653e-01 9.913573079893802653e-01 0.000000000000000000e+00
9.919526697734614151e-01 9.919526697734614151e-01 0.000000000000000000e+00
9.925268699382081561e-01 9.925268699382081561e-01 0.000000000000000000e+00
9.930798962340385838e-01 9.930798962340385838e-01 0.000000000000000000e+00
9.936117368630795754e-01 9.936117368630795754e-01 0.000000000000000000e+00
9.941223804794178109e-01 9.941223804794178109e-01 0.000000000000000000e+00
9.946118161893421350e-01 9.946118161893421350e-01 0.000000000000000000e+00
9.950800335515759265e-01 9.950800335515759265e-01 0.000000000000000000e+00
9.955270225774999204e-01 9.955270225774999204e-01 0.000000000000000000e+00
9.959527737313652596e-01 9.959527737313652596e-01 0.000000000000000000e+00
9.963572779304966653e-01 9.963572779304966653e-01 0.000000000000000000e+00
9.967405265454867269e-01 9.967405265454867269e-01 0.000000000000000000e+00
9.971025114003794210e-01 9.971025114003794210e-01 0.000000000000000000e+00
9.974432247728449719e-01 9.974432247728449719e-01 0.000000000000000000e+00
9.977626593943441646e-01 9.977626593943441646e-01 0.000000000000000000e+00
9.980608084502841093e-01 9.980608084502841093e-01 0.000000000000000000e+00
9.983376655801627919e-01 9.983376655801627919e-01 0.000000000000000000e+00
9.985932248777052989e-01 9.985932248777052989e-01 0.000000000000000000e+00
9.988274808909897162e-01 9.988274808909897162e-01 0.000000000000000000e+00
9.990404286225631481e-01 9.990404286225631481e-01 0.000000000000000000e+00
9.992320635295487419e-01 9.992320635295487419e-01 0.000000000000000000e+00
9.994023815237426112e-01 9.994023815237426112e-01 0.000000000000000000e+00
9.995513789717005437e-01 9.995513789717005437e-01 0.000000000000000000e+00
9.996790526948159394e-01 9.996790526948159394e-01 0.000000000000000000e+00
9.997853999693875338e-01 9.997853999693875338e-01 0.000000000000000000e+00
9.998704185266776845e-01 9.998704185266776845e-01 0.000000000000000000e+00
9.999341065529601114e-01 9.999341065529601114e-01 0.000000000000000000e+00
9.999764626895595310e-01 9.999764626895595310e-01 0.000000000000000000e+00
9.999974860328799675e-01 9.999974860328799675e-01 0.000000000000000000e+00
9.999971761344241816e-01 9.999971761344241816e-01 0.000000000000000000e+00
9.999755330008033294e-01 9.999755330008033294e-01 0.000000000000000000e+00
9.999325570937367402e-01 9.999325570937367402e-01 0.000000000000000000e+00
9.998682493300421470e-01 9.998682493300421470e-01 0.000000000000000000e+00
9.997826110816161460e-01 9.997826110816161460e-01 0.000000000000000000e+00
9.996756441754047762e-01 9.996756441754047762e-01 0.000000000000000000e+00
9.995473508933645501e-01 9.995473508933645501e-01 0.000000000000000000e+00
9.993977339724140485e-01 9.993977339724140485e-01 0.000000000000000000e+00
9.992267966043750782e-01 9.992267966043750782e-01 0.000000000000000000e+00
9.990345424359052817e-01 9.990345424359052817e-01 0.000000000000000000e+00
